building_name,building_address,building_stationText,building_AFText,room_floor,room_layout,room_url
東京メトロ南北線 本駒込駅 徒歩3分,東京都文京区向丘1丁目,東京メトロ南北線 本駒込駅 徒歩3分;都営三田線 白山駅 徒歩5分,2年 / 3階建,2階,1K,https://www.homes.co.jp/chintai/room/fac38fe6241e0281289576fa6dca8f3524ff468e/
東京メトロ南北線 本駒込駅 徒歩3分,東京都文京区向丘1丁目,東京メトロ南北線 本駒込駅 徒歩3分;都営三田線 白山駅 徒歩5分,2年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/6fdab91d44046fd9de8d14e2f3c6b8f509859887/
ＰＡＳＥＯ白山III,東京都文京区白山2丁目,都営三田線 白山駅 徒歩9分;JR総武線 水道橋駅 徒歩24分,4年 / 4階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/4334dcc497b41c9b1106f82a339835fe933960e6/
都営三田線 千石駅 徒歩6分,東京都文京区本駒込1丁目,都営三田線 千石駅 徒歩6分;東京メトロ南北線 本駒込駅 徒歩7分,5年 / 4階建,1階,1K,https://www.homes.co.jp/chintai/room/fb5a695695b45fa42248e6daa8e42dfcd013c00e/
ｂｏ−ｐｅｅｐ2,東京都文京区白山1丁目4-13,都営三田線 白山駅 徒歩8分;東京メトロ南北線 東大前駅 徒歩9分;都営三田線 春日駅 徒歩12分,4年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/fa79e45a6a278b84f2388dd140612db8c901e445/
都営三田線 白山駅 徒歩7分,東京都文京区白山1丁目,都営三田線 白山駅 徒歩7分;東京メトロ南北線 東大前駅 徒歩10分;都営三田線 春日駅 徒歩13分,5年 / 3階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/959f50b02b28d5ecfaf301bdd7e918e1f3cc781d/
都営三田線 白山駅 徒歩7分,東京都文京区白山1丁目,都営三田線 白山駅 徒歩7分;東京メトロ南北線 東大前駅 徒歩10分;都営三田線 春日駅 徒歩13分,5年 / 3階建,2階,1K,https://www.homes.co.jp/chintai/room/30a74a420e8b9c2d8ed2dfda9279686d8e37e5cb/
都営三田線 千石駅 徒歩3分,東京都文京区本駒込2丁目,都営三田線 千石駅 徒歩3分;東京メトロ南北線 本駒込駅 徒歩9分;JR山手線 巣鴨駅 徒歩15分,5年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/c6272a0859685a523fc63ccc7241001ccf9562fb/
都営三田線 白山駅 徒歩9分,東京都文京区白山2丁目,都営三田線 白山駅 徒歩9分;JR総武線 水道橋駅 徒歩24分,4年 / 4階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/6409bf2dd912baf087905296543b5f36cb8b95df/
ミリアレジデンス茗荷谷,東京都文京区大塚3丁目23-2,東京メトロ丸ノ内線 茗荷谷駅 徒歩8分;東京メトロ有楽町線 護国寺駅 徒歩10分;山手線 大塚 徒歩18分,2年 / 9階建,8階,1DK,https://www.homes.co.jp/chintai/room/24dc900420d5eb9ee117a175ab7d53ca837ec3f0/
プチメゾンさくら,東京都文京区大塚6丁目32-13,東京メトロ有楽町線 東池袋駅 徒歩6分;東京メトロ丸ノ内線 新大塚駅 徒歩9分,2年 / 3階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/2d301da6488be9569c14f2e0e570514acf1607ea/
